"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.5559e-10,1.4732e-10,1.2e-09,1,0,0.1854,-0.1854,0.01
1.5429e-10,9.2691e-11,1.0765e-09,1,0.0003708,0.1854,-0.18503,0.01
1.53e-10,3.8066e-11,9.5299e-10,1,0.0007416,0.1854,-0.18466,0.01
1.5176e-10,6.5824e-18,8.4898e-10,1,0.0011124,0.1854,-0.18429,0.01
1.5066e-10,6.0258e-18,7.8986e-10,1,0.0014832,0.1854,-0.18392,0.01
1.4956e-10,5.4692e-18,7.3073e-10,1,0.001854,0.1854,-0.18355,0.01
1.4855e-10,5.0037e-18,6.8726e-10,1,0.0022248,0.1854,-0.18318,0.01
1.476e-10,4.5972e-18,6.5396e-10,1,0.0025956,0.1854,-0.1828,0.01
1.4666e-10,4.1907e-18,6.2066e-10,1,0.0029664,0.1854,-0.18243,0.01
1.4583e-10,3.8859e-18,5.9859e-10,1,0.0033372,0.1854,-0.18206,0.01
1.4501e-10,3.5912e-18,5.7764e-10,1,0.003708,0.1854,-0.18169,0.01
1.4426e-10,3.3255e-18,5.6011e-10,1,0.0040788,0.1854,-0.18132,0.01
1.4376e-10,3.1671e-18,5.5527e-10,1,0.0044496,0.1854,-0.18095,0.01
1.4326e-10,3.0088e-18,5.5043e-10,1,0.0048204,0.1854,-0.18058,0.01
1.4276e-10,2.8504e-18,5.4559e-10,1,0.0051912,0.1854,-0.18021,0.01
1.4226e-10,2.6921e-18,5.4075e-10,1,0.005562,0.1854,-0.17984,0.01
1.4176e-10,2.5337e-18,5.3591e-10,1,0.0059328,0.1854,-0.17947,0.01
1.4126e-10,2.3754e-18,5.3107e-10,1,0.0063036,0.1854,-0.1791,0.01
1.4076e-10,2.217e-18,5.2623e-10,1,0.0066744,0.1854,-0.17873,0.01
1.4026e-10,2.0587e-18,5.2139e-10,1,0.0070452,0.1854,-0.17835,0.01
1.3977e-10,1.9003e-18,5.1655e-10,1,0.007416,0.1854,-0.17798,0.01
1.3927e-10,1.742e-18,5.1171e-10,1,0.0077868,0.1854,-0.17761,0.01
1.3877e-10,1.5836e-18,5.0687e-10,1,0.0081576,0.1854,-0.17724,0.01
1.3827e-10,1.4253e-18,5.0203e-10,1,0.0085284,0.1854,-0.17687,0.01
1.3777e-10,1.2669e-18,4.9719e-10,1,0.0088992,0.1854,-0.1765,0.01
1.3728e-10,1.1147e-18,4.9252e-10,1,0.00927,0.1854,-0.17613,0.01
1.3698e-10,1.0692e-18,4.9076e-10,1,0.0096408,0.1854,-0.17576,0.01
1.3668e-10,1.0237e-18,4.89e-10,1,0.010012,0.1854,-0.17539,0.01
1.3638e-10,9.7817e-19,4.8724e-10,1,0.010382,0.1854,-0.17502,0.01
1.3608e-10,9.3267e-19,4.8548e-10,1,0.010753,0.1854,-0.17465,0.01
1.3578e-10,8.8717e-19,4.8372e-10,1,0.011124,0.1854,-0.17428,0.01
1.3548e-10,8.4167e-19,4.8197e-10,1,0.011495,0.1854,-0.17391,0.01
1.3517e-10,7.9617e-19,4.8021e-10,1,0.011866,0.1854,-0.17353,0.01
1.3487e-10,7.5067e-19,4.7845e-10,1,0.012236,0.1854,-0.17316,0.01
1.3457e-10,7.0517e-19,4.7669e-10,1,0.012607,0.1854,-0.17279,0.01
1.3427e-10,6.5967e-19,4.7493e-10,1,0.012978,0.1854,-0.17242,0.01
1.3397e-10,6.1417e-19,4.7317e-10,1,0.013349,0.1854,-0.17205,0.01
1.3367e-10,5.6866e-19,4.7141e-10,1,0.01372,0.1854,-0.17168,0.01
1.3337e-10,5.2316e-19,4.6966e-10,1,0.01409,0.1854,-0.17131,0.01
1.3307e-10,4.7766e-19,4.679e-10,1,0.014461,0.1854,-0.17094,0.01
1.3284e-10,4.6252e-19,4.6681e-10,1,0.014832,0.1854,-0.17057,0.01
1.3262e-10,4.5092e-19,4.658e-10,1,0.015203,0.1854,-0.1702,0.01
1.324e-10,4.3932e-19,4.648e-10,1,0.015574,0.1854,-0.16983,0.01
1.3218e-10,4.2772e-19,4.6379e-10,1,0.015944,0.1854,-0.16946,0.01
1.3196e-10,4.1612e-19,4.6278e-10,1,0.016315,0.1854,-0.16908,0.01
1.3174e-10,4.0452e-19,4.6178e-10,1,0.016686,0.1854,-0.16871,0.01
1.3152e-10,3.9292e-19,4.6077e-10,1,0.017057,0.1854,-0.16834,0.01
1.313e-10,3.8132e-19,4.5976e-10,1,0.017428,0.1854,-0.16797,0.01
1.3108e-10,3.6972e-19,4.5875e-10,1,0.017798,0.1854,-0.1676,0.01
1.3086e-10,3.5812e-19,4.5775e-10,1,0.018169,0.1854,-0.16723,0.01
1.3064e-10,3.4652e-19,4.5674e-10,1,0.01854,0.1854,-0.16686,0.01
1.3042e-10,3.3492e-19,4.5573e-10,1,0.018911,0.1854,-0.16649,0.01
