"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.234e-10,5.4171e-10,1.1104e-10,1,0,0.1854,-0.1854,0.01
5.199e-10,5.069e-10,1.0991e-10,1,0.0003708,0.1854,-0.18503,0.01
5.1641e-10,4.721e-10,1.0878e-10,1,0.0007416,0.1854,-0.18466,0.01
5.1291e-10,4.373e-10,1.0765e-10,1,0.0011124,0.1854,-0.18429,0.01
5.0941e-10,4.0249e-10,1.0652e-10,1,0.0014832,0.1854,-0.18392,0.01
5.0592e-10,3.6769e-10,1.0539e-10,1,0.001854,0.1854,-0.18355,0.01
5.0242e-10,3.3289e-10,1.0425e-10,1,0.0022248,0.1854,-0.18318,0.01
4.9892e-10,2.9808e-10,1.0312e-10,1,0.0025956,0.1854,-0.1828,0.01
4.9543e-10,2.6328e-10,1.0199e-10,1,0.0029664,0.1854,-0.18243,0.01
4.9193e-10,2.2848e-10,1.0086e-10,1,0.0033372,0.1854,-0.18206,0.01
4.8844e-10,1.9367e-10,9.9734e-11,1,0.003708,0.1854,-0.18169,0.01
4.8494e-10,1.5887e-10,9.8604e-11,1,0.0040788,0.1854,-0.18132,0.01
4.8144e-10,1.2407e-10,9.7474e-11,1,0.0044496,0.1854,-0.18095,0.01
4.7795e-10,8.9264e-11,9.6343e-11,1,0.0048204,0.1854,-0.18058,0.01
4.7445e-10,5.446e-11,9.5213e-11,1,0.0051912,0.1854,-0.18021,0.01
4.7095e-10,1.9657e-11,9.4083e-11,1,0.005562,0.1854,-0.17984,0.01
4.6812e-10,0,9.3155e-11,1,0.0059328,0.1854,-0.17947,0.01
4.6613e-10,0,9.2489e-11,1,0.0063036,0.1854,-0.1791,0.01
4.6415e-10,0,9.1823e-11,1,0.0066744,0.1854,-0.17873,0.01
4.6216e-10,0,9.1157e-11,1,0.0070452,0.1854,-0.17835,0.01
4.6018e-10,0,9.0491e-11,1,0.007416,0.1854,-0.17798,0.01
4.582e-10,0,8.9825e-11,1,0.0077868,0.1854,-0.17761,0.01
4.5621e-10,0,8.9159e-11,1,0.0081576,0.1854,-0.17724,0.01
4.5423e-10,0,8.8493e-11,1,0.0085284,0.1854,-0.17687,0.01
4.5224e-10,0,8.7827e-11,1,0.0088992,0.1854,-0.1765,0.01
4.5026e-10,0,8.7161e-11,1,0.00927,0.1854,-0.17613,0.01
4.4828e-10,0,8.6496e-11,1,0.0096408,0.1854,-0.17576,0.01
4.4629e-10,0,8.583e-11,1,0.010012,0.1854,-0.17539,0.01
4.4431e-10,0,8.5164e-11,1,0.010382,0.1854,-0.17502,0.01
4.4233e-10,0,8.4498e-11,1,0.010753,0.1854,-0.17465,0.01
4.4034e-10,0,8.3832e-11,1,0.011124,0.1854,-0.17428,0.01
4.3836e-10,0,8.3166e-11,1,0.011495,0.1854,-0.17391,0.01
4.3675e-10,0,8.2697e-11,1,0.011866,0.1854,-0.17353,0.01
4.352e-10,0,8.2257e-11,1,0.012236,0.1854,-0.17316,0.01
4.3364e-10,0,8.1817e-11,1,0.012607,0.1854,-0.17279,0.01
4.3209e-10,0,8.1378e-11,1,0.012978,0.1854,-0.17242,0.01
4.3054e-10,0,8.0938e-11,1,0.013349,0.1854,-0.17205,0.01
4.2899e-10,0,8.0498e-11,1,0.01372,0.1854,-0.17168,0.01
4.2743e-10,0,8.0059e-11,1,0.01409,0.1854,-0.17131,0.01
4.2588e-10,0,7.9619e-11,1,0.014461,0.1854,-0.17094,0.01
4.2433e-10,0,7.9179e-11,1,0.014832,0.1854,-0.17057,0.01
4.2278e-10,0,7.8739e-11,1,0.015203,0.1854,-0.1702,0.01
4.2122e-10,0,7.83e-11,1,0.015574,0.1854,-0.16983,0.01
4.1967e-10,0,7.786e-11,1,0.015944,0.1854,-0.16946,0.01
4.1812e-10,0,7.742e-11,1,0.016315,0.1854,-0.16908,0.01
4.1657e-10,0,7.698e-11,1,0.016686,0.1854,-0.16871,0.01
4.1501e-10,0,7.6541e-11,1,0.017057,0.1854,-0.16834,0.01
4.1349e-10,0,7.6131e-11,1,0.017428,0.1854,-0.16797,0.01
4.1205e-10,0,7.5791e-11,1,0.017798,0.1854,-0.1676,0.01
4.1061e-10,0,7.545e-11,1,0.018169,0.1854,-0.16723,0.01
4.0917e-10,0,7.5109e-11,1,0.01854,0.1854,-0.16686,0.01
4.0773e-10,0,7.4769e-11,1,0.018911,0.1854,-0.16649,0.01
4.0629e-10,0,7.4428e-11,1,0.019282,0.1854,-0.16612,0.01
4.0485e-10,0,7.4087e-11,1,0.019652,0.1854,-0.16575,0.01
4.0341e-10,0,7.3747e-11,1,0.020023,0.1854,-0.16538,0.01
4.0197e-10,0,7.3406e-11,1,0.020394,0.1854,-0.16501,0.01
4.0053e-10,0,7.3065e-11,1,0.020765,0.1854,-0.16464,0.01
3.9909e-10,0,7.2725e-11,1,0.021136,0.1854,-0.16426,0.01
3.9765e-10,0,7.2384e-11,1,0.021506,0.1854,-0.16389,0.01
3.9621e-10,0,7.2043e-11,1,0.021877,0.1854,-0.16352,0.01
3.9477e-10,0,7.1703e-11,1,0.022248,0.1854,-0.16315,0.01
3.9333e-10,0,7.1362e-11,1,0.022619,0.1854,-0.16278,0.01
3.9189e-10,0,7.1021e-11,1,0.02299,0.1854,-0.16241,0.01
3.9047e-10,0,7.0721e-11,1,0.02336,0.1854,-0.16204,0.01
3.8905e-10,0,7.0435e-11,1,0.023731,0.1854,-0.16167,0.01
3.8763e-10,0,7.015e-11,1,0.024102,0.1854,-0.1613,0.01
3.8621e-10,0,6.9864e-11,1,0.024473,0.1854,-0.16093,0.01
3.8479e-10,0,6.9578e-11,1,0.024844,0.1854,-0.16056,0.01
3.8337e-10,0,6.9292e-11,1,0.025214,0.1854,-0.16019,0.01
3.8195e-10,0,6.9006e-11,1,0.025585,0.1854,-0.15981,0.01
3.8053e-10,0,6.872e-11,1,0.025956,0.1854,-0.15944,0.01
3.7912e-10,0,6.8434e-11,1,0.026327,0.1854,-0.15907,0.01
3.777e-10,0,6.8148e-11,1,0.026698,0.1854,-0.1587,0.01
3.7628e-10,0,6.7863e-11,1,0.027068,0.1854,-0.15833,0.01
3.7486e-10,0,6.7577e-11,1,0.027439,0.1854,-0.15796,0.01
3.7344e-10,0,6.7291e-11,1,0.02781,0.1854,-0.15759,0.01
3.7202e-10,0,6.7005e-11,1,0.028181,0.1854,-0.15722,0.01
3.706e-10,0,6.6719e-11,1,0.028552,0.1854,-0.15685,0.01
3.6918e-10,0,6.6441e-11,1,0.028922,0.1854,-0.15648,0.01
3.6778e-10,0,6.6199e-11,1,0.029293,0.1854,-0.15611,0.01
3.6637e-10,0,6.5956e-11,1,0.029664,0.1854,-0.15574,0.01
3.6497e-10,0,6.5714e-11,1,0.030035,0.1854,-0.15537,0.01
3.6357e-10,0,6.5472e-11,1,0.030406,0.1854,-0.15499,0.01
3.6216e-10,0,6.5229e-11,1,0.030776,0.1854,-0.15462,0.01
3.6076e-10,0,6.4987e-11,1,0.031147,0.1854,-0.15425,0.01
3.5935e-10,0,6.4744e-11,1,0.031518,0.1854,-0.15388,0.01
3.5795e-10,0,6.4502e-11,1,0.031889,0.1854,-0.15351,0.01
3.5654e-10,0,6.426e-11,1,0.03226,0.1854,-0.15314,0.01
3.5514e-10,0,6.4017e-11,1,0.03263,0.1854,-0.15277,0.01
3.5373e-10,0,6.3775e-11,1,0.033001,0.1854,-0.1524,0.01
3.5233e-10,0,6.3533e-11,1,0.033372,0.1854,-0.15203,0.01
3.5093e-10,0,6.329e-11,1,0.033743,0.1854,-0.15166,0.01
3.4952e-10,0,6.3048e-11,1,0.034114,0.1854,-0.15129,0.01
3.4812e-10,0,6.2806e-11,1,0.034484,0.1854,-0.15092,0.01
3.4674e-10,0,6.2593e-11,1,0.034855,0.1854,-0.15054,0.01
3.4539e-10,0,6.24e-11,1,0.035226,0.1854,-0.15017,0.01
3.4404e-10,0,6.2206e-11,1,0.035597,0.1854,-0.1498,0.01
3.4269e-10,0,6.2013e-11,1,0.035968,0.1854,-0.14943,0.01
3.4134e-10,0,6.1819e-11,1,0.036338,0.1854,-0.14906,0.01
3.3999e-10,0,6.1626e-11,1,0.036709,0.1854,-0.14869,0.01
3.3864e-10,0,6.1432e-11,1,0.03708,0.1854,-0.14832,0.01
3.3729e-10,0,6.1238e-11,1,0.037451,0.1854,-0.14795,0.01
3.3594e-10,0,6.1045e-11,1,0.037822,0.1854,-0.14758,0.01
3.3459e-10,0,6.0851e-11,1,0.038192,0.1854,-0.14721,0.01
3.3323e-10,0,6.0658e-11,1,0.038563,0.1854,-0.14684,0.01
3.3188e-10,0,6.0464e-11,1,0.038934,0.1854,-0.14647,0.01
3.3053e-10,0,6.0271e-11,1,0.039305,0.1854,-0.1461,0.01
3.2918e-10,0,6.0077e-11,1,0.039676,0.1854,-0.14572,0.01
3.2783e-10,0,5.9884e-11,1,0.040046,0.1854,-0.14535,0.01
3.2648e-10,0,5.9693e-11,1,0.040417,0.1854,-0.14498,0.01
3.2525e-10,0,5.9559e-11,1,0.040788,0.1854,-0.14461,0.01
3.2401e-10,0,5.9424e-11,1,0.041159,0.1854,-0.14424,0.01
3.2277e-10,0,5.929e-11,1,0.04153,0.1854,-0.14387,0.01
3.2154e-10,0,5.9156e-11,1,0.0419,0.1854,-0.1435,0.01
3.203e-10,0,5.9022e-11,1,0.042271,0.1854,-0.14313,0.01
3.1906e-10,0,5.8887e-11,1,0.042642,0.1854,-0.14276,0.01
3.1783e-10,0,5.8753e-11,1,0.043013,0.1854,-0.14239,0.01
3.1659e-10,0,5.8619e-11,1,0.043384,0.1854,-0.14202,0.01
3.1535e-10,0,5.8485e-11,1,0.043754,0.1854,-0.14165,0.01
3.1411e-10,0,5.8351e-11,1,0.044125,0.1854,-0.14127,0.01
3.1288e-10,0,5.8216e-11,1,0.044496,0.1854,-0.1409,0.01
3.1164e-10,0,5.8082e-11,1,0.044867,0.1854,-0.14053,0.01
3.104e-10,0,5.7948e-11,1,0.045238,0.1854,-0.14016,0.01
3.0917e-10,0,5.7814e-11,1,0.045608,0.1854,-0.13979,0.01
3.081e-10,0,5.7746e-11,1,0.045979,0.1854,-0.13942,0.01
3.0705e-10,0,5.7684e-11,1,0.04635,0.1854,-0.13905,0.01
3.06e-10,0,5.7622e-11,1,0.046721,0.1854,-0.13868,0.01
3.0495e-10,0,5.7559e-11,1,0.047092,0.1854,-0.13831,0.01
3.039e-10,0,5.7497e-11,1,0.047462,0.1854,-0.13794,0.01
3.0285e-10,0,5.7435e-11,1,0.047833,0.1854,-0.13757,0.01
3.018e-10,0,5.7373e-11,1,0.048204,0.1854,-0.1372,0.01
3.0075e-10,0,5.7311e-11,1,0.048575,0.1854,-0.13683,0.01
2.997e-10,0,5.7249e-11,1,0.048946,0.1854,-0.13645,0.01
2.9865e-10,0,5.7187e-11,1,0.049316,0.1854,-0.13608,0.01
2.976e-10,0,5.7125e-11,1,0.049687,0.1854,-0.13571,0.01
2.9655e-10,0,5.7063e-11,1,0.050058,0.1854,-0.13534,0.01
2.955e-10,0,5.7001e-11,1,0.050429,0.1854,-0.13497,0.01
2.9445e-10,0,5.6939e-11,1,0.0508,0.1854,-0.1346,0.01
2.9361e-10,0,5.6945e-11,1,0.05117,0.1854,-0.13423,0.01
2.9284e-10,0,5.697e-11,1,0.051541,0.1854,-0.13386,0.01
2.9206e-10,0,5.6995e-11,1,0.051912,0.1854,-0.13349,0.01
2.9128e-10,0,5.702e-11,1,0.052283,0.1854,-0.13312,0.01
2.9051e-10,0,5.7045e-11,1,0.052654,0.1854,-0.13275,0.01
2.8973e-10,0,5.7069e-11,1,0.053024,0.1854,-0.13238,0.01
2.8896e-10,0,5.7094e-11,1,0.053395,0.1854,-0.132,0.01
2.8818e-10,0,5.7119e-11,1,0.053766,0.1854,-0.13163,0.01
2.8741e-10,0,5.7144e-11,1,0.054137,0.1854,-0.13126,0.01
2.8663e-10,0,5.7169e-11,1,0.054508,0.1854,-0.13089,0.01
2.8585e-10,0,5.7194e-11,1,0.054878,0.1854,-0.13052,0.01
2.8508e-10,0,5.7219e-11,1,0.055249,0.1854,-0.13015,0.01
2.843e-10,0,5.7244e-11,1,0.05562,0.1854,-0.12978,0.01
2.8353e-10,0,5.7268e-11,1,0.055991,0.1854,-0.12941,0.01
2.8299e-10,0,5.7358e-11,1,0.056362,0.1854,-0.12904,0.01
2.8258e-10,0,5.7481e-11,1,0.056732,0.1854,-0.12867,0.01
2.8217e-10,0,5.7604e-11,1,0.057103,0.1854,-0.1283,0.01
2.8176e-10,0,5.7727e-11,1,0.057474,0.1854,-0.12793,0.01
2.8135e-10,0,5.785e-11,1,0.057845,0.1854,-0.12756,0.01
2.8094e-10,0,5.7972e-11,1,0.058216,0.1854,-0.12718,0.01
2.8052e-10,0,5.8095e-11,1,0.058586,0.1854,-0.12681,0.01
2.8011e-10,0,5.8218e-11,1,0.058957,0.1854,-0.12644,0.01
2.797e-10,0,5.8341e-11,1,0.059328,0.1854,-0.12607,0.01
2.7929e-10,0,5.8464e-11,1,0.059699,0.1854,-0.1257,0.01
2.7888e-10,0,5.8587e-11,1,0.06007,0.1854,-0.12533,0.01
2.7847e-10,0,5.871e-11,1,0.06044,0.1854,-0.12496,0.01
